Category,Price,ImageUrl,Address,Description,Detail Url
Commerciale et bureaux,45 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DC4BC1A9DDDDDDDDDDA&t=pi&w=320&h=240&sm=c,"5311, Rue Sherbrooke Ouest, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Quartier Notre-Dame-de-Grâce","Bien situé entre NDG et Westmount et à proximité de l'autoroute 15, du métro Vendôme et au MUHC. Rez-de-chaussée d'un immeuble à appartements avec de nombreux services à proximité.",https://www.centris.ca/fr/local-commercial~a-louer~montreal-cote-des-neiges-notre-dame-de-grace/25200944?view=Summary
Commerciale seulement,700 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCADC841DDDDDDDDDD0&t=pi&w=320&h=240&sm=c,"240, 10e Avenue, Montréal (Lachine), Quartier Est","Une opportunité exceptionnelle. Espace de bureau de approximativement 1,400 pi.ca. composé de 6 bureaux fermés, avec fenêtres, local technique, espace de réception et salle d'eau (voir plan), bien situé à proximité des services sur la rue Notre-Dame et de plusieurs stationnement municipaux 24h. Plusieurs bureaux sont aménagés avec de spacieux meubles de rangement intégrés.",https://www.centris.ca/fr/local-commercial~a-louer~montreal-lachine/14336019?view=Summary
Commerciale seulement,995 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DC19B670DDDDDDDDDD4&t=pi&w=320&h=240&sm=c,"1097, Rue Saint-Alexandre, local 302, Montréal (Ville-Marie), Quartier Centre","Bureau 3 étage, emplacement exceptionnel, plein centre ville de Montréal, belle fenestration, Rue St-Alexandre coin René-Lévesque, Métro, train de banlieue, voies rapides, universités, gym, restos et cafés. Les frais d'exploitation sont inclus.",https://www.centris.ca/fr/local-commercial~a-louer~montreal-ville-marie/13117844?view=Summary
Bureaux seulement,"26,93 $",https://mspublic.centris.ca/media.ashx?id=ADDD250DC41FEF2DDDDDDDDDDA&t=pi&w=320&h=240&sm=c,"424, Rue Saint-François-Xavier, local GR1-201, Montréal (Ville-Marie), Quartier Vieux-Montréal",Espace bureau clé en main à sous-louer (terme initiale expire le 30 juin 2025) situé au coeur du Vieux-Montréal. Les locaux à bureaux sont au rez-de-chaussée et au 2e étage et mesurent 5 269 pi2. Situé près de la station de métro Place D'armes. Disponible pour occupation immédiate. Possibilité de louer des bureaux individuelles.,https://www.centris.ca/fr/local-commercial~a-louer~montreal-ville-marie/21338814?view=Summary
Bureaux seulement,640 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D26B6BFDDDDDDDDDDDE&t=pi&w=320&h=240&sm=c,"9200, Rue Sherbrooke Est, local 223, Montréal (Mercier/Hochelaga-Maisonneuve), Quartier Mercier",Espace de bureau au 2e étage de 960 p.c. dans un centre commercial avec emplacement de choix situé sur la rue achalander de Sherbrooke est. Stationnement généreux et accès facile. A ne pas manquer! (Matricule: 0252-71-1660-8-000-0000),https://www.centris.ca/fr/local-commercial~a-louer~montreal-mercier-hochelaga-maisonneuve/10316053?view=Summary
Commerciale et bureaux,"13,06 $",https://mspublic.centris.ca/media.ashx?id=ADDD250D2998471DDDDDDDDDD1&t=pi&w=320&h=240&sm=c,"507, Place d'Armes, local 240, Montréal (Ville-Marie), Quartier Vieux-Montréal","Le loyer débutera à 13,06$ pc + tps/tvq, 1ère année & sera sujet à des augmentations annuelles. TEL QUEL. Opex & taxes foncières (est. 2021) 15,94$/pi.ca.",https://www.centris.ca/fr/local-commercial~a-louer~montreal-ville-marie/27257607?view=Summary
Commerciale et bureaux,18 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DC4DBD37DDDDDDDDDDA&t=pi&w=320&h=240&sm=c,"4570, Rue Jean-Talon Est, Montréal (Saint-Léonard)","Excellent emplacement sur Jean-Talon, près de Provencher; Stationnement extérieur disponible; TAUX DE LOCATION - BRUT: bureaux au 2e étage: 18.00 $ le pi.ca. / bureaux au sous-sol: 16.00 $ le pi.ca. // Local 203: 1,176 pi.ca. / Local 202: 1,857 pi.ca. / local 100B: 600 pi.ca.",https://www.centris.ca/fr/local-commercial~a-louer~montreal-saint-leonard/12263358?view=Summary
Commerciale et bureaux,35 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCCAC631DDDDDDDDDDC&t=pi&w=320&h=240&sm=c,"7179 - 7181, boulevard Saint-Laurent, Montréal (Rosemont/La Petite-Patrie), Quartier Petite Italie","Situé au rez-de-chaussée, superficie locative de 2,150 pi.ca. PLUS possibilité l'ajout d'une mezzanine d'environ 800 pi.ca.; Local livré comme une coquille, à être divisé selon les besoins du locataire (améliorations locatives par le locataire). Idéal pour restaurant, clinique ou bureaux de professionnels; terrasse extérieure privée",https://www.centris.ca/fr/local-commercial~a-louer~montreal-rosemont-la-petite-patrie/22277916?view=Summary
Commerciale et bureaux,25 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCA40CECDDDDDDDDDDE&t=pi&w=320&h=240&sm=c,"4291 - 4299, Rue Ontario Est, Montréal (Mercier/Hochelaga-Maisonneuve), Quartier Hochelaga-Maisonneuve",,https://www.centris.ca/fr/local-commercial~a-louer~montreal-mercier-hochelaga-maisonneuve/16607744?view=Summary
Commerciale seulement,1 450 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCA9433FDDDDDDDDDD4&t=pi&w=320&h=240&sm=c,"3687, Rue Monselet, Montréal (Montréal-Nord)",,https://www.centris.ca/fr/local-commercial~a-louer~montreal-montreal-nord/22476668?view=Summary
