address,area,baths,beds,brokerName,detailUrl,id,imgSrc,latitude,longitude,price,statusText,statusType
"14798 SW 184th St, Miami, FL 33187",2070,2.0,3,Padovan Realty Corp.,https://www.zillow.com/homedetails/14798-SW-184th-St-Miami-FL-33187/44361612_zpid/,44361612,https://photos.zillowstatic.com/fp/ab5a4d6fbddc44a9cb1134728eea55a2-p_e.jpg,25.59534,-80.431435,"$675,000",House for sale,FOR_SALE
"9115 SW 45th Ter, Miami, FL 33165",2106,2.0,4,EXP Realty LLC,https://www.zillow.com/homedetails/9115-SW-45th-Ter-Miami-FL-33165/44205043_zpid/,44205043,https://photos.zillowstatic.com/fp/449e6a5a0d617ead48b6e05adc5e4649-p_e.jpg,25.726223,-80.34283,"$675,000",House for sale,FOR_SALE
"10815 SW 84th Ct, Miami, FL 33156",1421,2.0,3,LPT Realty,https://www.zillow.com/homedetails/10815-SW-84th-Ct-Miami-FL-33156/44283974_zpid/,44283974,https://photos.zillowstatic.com/fp/bd358d81651e68a2e8e4f25a4a7da317-p_e.jpg,25.669264,-80.331635,"$1,190,000",House for sale,FOR_SALE
"12205 SW 194th Ter, Miami, FL 33177",1910,2.0,3,The Keyes Company,https://www.zillow.com/homedetails/12205-SW-194th-Ter-Miami-FL-33177/44360618_zpid/,44360618,https://photos.zillowstatic.com/fp/4a1d3cab2ecfc6e994dc024665a51947-p_e.jpg,25.585936,-80.389534,"$560,000",House for sale,FOR_SALE
"1070 SW 84th Ct, Miami, FL 33144",2023,2.0,4,Xcellence Realty,https://www.zillow.com/homedetails/1070-SW-84th-Ct-Miami-FL-33144/44184172_zpid/,44184172,https://photos.zillowstatic.com/fp/7077a27c32c2279e47334e5e24885bf6-p_e.jpg,25.759369,-80.33258,"$775,000",House for sale,FOR_SALE
"8922 SW 10th Ter, Miami, FL 33174",2481,3.0,4,BHHS EWM Realty,https://www.zillow.com/homedetails/8922-SW-10th-Ter-Miami-FL-33174/44181740_zpid/,44181740,https://photos.zillowstatic.com/fp/fbefe9b8e9f48269588e37fd01083a53-p_e.jpg,25.759682,-80.340744,"$625,000",House for sale,FOR_SALE
"639 NE 62nd St, Miami, FL 33138",990,1.0,3,The Keyes Company,https://www.zillow.com/homedetails/639-NE-62nd-St-Miami-FL-33138/43829278_zpid/,43829278,https://photos.zillowstatic.com/fp/20470409649e5db5953e2bd2273d208f-p_e.jpg,25.833487,-80.183304,"$799,900",House for sale,FOR_SALE
"7616 SW 53rd Ave, Miami, FL 33143",2859,5.0,4,Perez-Roura Real Estate LLC,https://www.zillow.com/homedetails/7616-SW-53rd-Ave-Miami-FL-33143/2060149751_zpid/,2060149751,https://photos.zillowstatic.com/fp/51def20313714d400e658fe5c0a0535c-p_e.jpg,25.70071,-80.27888,"$3,400,000",New construction,FOR_SALE
"8035 SW 107th Ave APT 302, Miami, FL 33173",965,2.0,2,Avenew Realty Corp,https://www.zillow.com/homedetails/8035-SW-107th-Ave-APT-302-Miami-FL-33173/44219399_zpid/,44219399,https://photos.zillowstatic.com/fp/6a7811e3f73fbba464c9beadba8b9c52-p_e.jpg,25.692871,-80.36155,"$305,000",Condo for sale,FOR_SALE
"(undisclosed Address), Miami, FL 33177",0,3.0,4,Lennar Realty Inc,https://www.zillow.com/homedetails/Miami-FL-33177/2060148572_zpid/,2060148572,https://photos.zillowstatic.com/fp/09059e16506ffb3c9c4eea418018570b-p_e.jpg,,,"$624,890",New construction,FOR_SALE
"9972 SW 88th St #1121, Miami, FL 33176",930,1.0,2,HomeFind Realty Corp,https://www.zillow.com/homedetails/9972-SW-88th-St-1121-Miami-FL-33176/64655225_zpid/,64655225,https://photos.zillowstatic.com/fp/55f2d3de45ce77ea872fb972f246f7db-p_e.jpg,25.68716,-80.356995,"$265,000",Condo for sale,FOR_SALE
"8900 SW 125th Ter, Miami, FL 33176",2172,2.0,4,Coldwell Banker Realty,https://www.zillow.com/homedetails/8900-SW-125th-Ter-Miami-FL-33176/44284659_zpid/,44284659,https://photos.zillowstatic.com/fp/82ed23ad8f2343d1f5aa99d4dafa9b7b-p_e.jpg,25.653267,-80.33855,"$960,000",House for sale,FOR_SALE
"5501 SW 4th St, Miami, FL 33134",1289,2.0,4,Florida Realty of Miami Corp,https://www.zillow.com/homedetails/5501-SW-4th-St-Miami-FL-33134/43846822_zpid/,43846822,https://photos.zillowstatic.com/fp/797224bbd2df385ddfe9d1b99c394b8a-p_e.jpg,25.76748,-80.28414,"$535,000",House for sale,FOR_SALE
"11540 SW 107th Ave, Miami, FL 33176",2591,3.0,4,Lifestyle International Realty,https://www.zillow.com/homedetails/11540-SW-107th-Ave-Miami-FL-33176/44279592_zpid/,44279592,https://photos.zillowstatic.com/fp/6317d620e1af82e401439c2517e0778a-p_e.jpg,25.661446,-80.36783,"$950,000",House for sale,FOR_SALE
"3365 SW 72nd Ct, Miami, FL 33155",1292,2.0,3,One Stop Realty,https://www.zillow.com/homedetails/3365-SW-72nd-Ct-Miami-FL-33155/44190028_zpid/,44190028,https://photos.zillowstatic.com/fp/b7542062740e9ad33fe346f8f16cf4d1-p_e.jpg,25.738968,-80.31296,"$515,000",House for sale,FOR_SALE
"14351 SW 160th Ter, Miami, FL 33177",1641,2.0,3,"The Elaine Group, Inc.",https://www.zillow.com/homedetails/14351-SW-160th-Ter-Miami-FL-33177/44335006_zpid/,44335006,https://photos.zillowstatic.com/fp/2fa34869a3325e64f019e541bd4df7a3-p_e.jpg,25.618252,-80.42535,"$589,000",House for sale,FOR_SALE
"4505 Sabal Palm Rd, Miami, FL 33137",8207,9.0,7,Coldwell Banker Realty,https://www.zillow.com/homedetails/4505-Sabal-Palm-Rd-Miami-FL-33137/43830256_zpid/,43830256,https://photos.zillowstatic.com/fp/c7a48af979f4891e7ca4596103ca893d-p_e.jpg,25.819122,-80.180176,"$55,000,000",House for sale,FOR_SALE
"9066 SW 73rd Ct APT 706, Miami, FL 33156",928,1.0,1,Recuset Realty Corp,https://www.zillow.com/homedetails/9066-SW-73rd-Ct-APT-706-Miami-FL-33156/72575835_zpid/,72575835,https://photos.zillowstatic.com/fp/3f5b2432a07e91c2bdb85d7a1df4e695-p_e.jpg,25.68658,-80.31459,"$349,900",Condo for sale,FOR_SALE
"15875 SW 136th Ter, Miami, FL 33196",2597,3.0,4,Realty One Group Evolution,https://www.zillow.com/homedetails/15875-SW-136th-Ter-Miami-FL-33196/162033118_zpid/,162033118,https://photos.zillowstatic.com/fp/e0bc704be465dc08cb330260c1243dd0-p_e.jpg,25.639658,-80.4509,"$1,039,000",House for sale,FOR_SALE
"680 NE 64th St APT A506, Miami, FL 33138",723,1.0,1,"Compass Florida, LLC.",https://www.zillow.com/homedetails/680-NE-64th-St-APT-A506-Miami-FL-33138/64589012_zpid/,64589012,https://photos.zillowstatic.com/fp/a89161b640436aca9789bbe2045b957e-p_e.jpg,25.83473,-80.18229,"$325,000",Condo for sale,FOR_SALE
"1871 NW South River Dr #501, Miami, FL 33125",887,1.0,1,"Maria Homes Realty, Inc",https://www.zillow.com/homedetails/1871-NW-South-River-Dr-501-Miami-FL-33125/113379257_zpid/,113379257,https://photos.zillowstatic.com/fp/3611002b917e518751a9fe25b9787574-p_e.jpg,25.78521,-80.2259,"$285,000",Condo for sale,FOR_SALE
"14301 SW 130th Ave, Miami, FL 33186",2018,3.0,4,NXT LVL Realty,https://www.zillow.com/homedetails/14301-SW-130th-Ave-Miami-FL-33186/58455651_zpid/,58455651,https://photos.zillowstatic.com/fp/34901b147aa3e135deee27fb0ec66acb-p_e.jpg,25.634947,-80.404465,"$855,000",House for sale,FOR_SALE
"4755 NW 1st St, Miami, FL 33126",1534,3.0,5,"Manny Do All, LLC",https://www.zillow.com/homedetails/4755-NW-1st-St-Miami-FL-33126/43846200_zpid/,43846200,https://photos.zillowstatic.com/fp/8fc75e2926321e406250ab83b72c01a3-p_e.jpg,25.773056,-80.27338,"$595,000",Multi-family home for sale,FOR_SALE
"854 NW 30th Pl, Miami, FL 33125",1809,4.0,5,"Stratwell, LLC",https://www.zillow.com/homedetails/854-NW-30th-Pl-Miami-FL-33125/43822428_zpid/,43822428,https://photos.zillowstatic.com/fp/480a4405bbaf23f47ec1352b69a07312-p_e.jpg,25.78115,-80.24578,"$489,900",Foreclosure,FOR_SALE
"5 Grove Isle Dr PENTHOUSE 2, Miami, FL 33133",6597,6.0,4,Cervera Real Estate Inc.,https://www.zillow.com/homedetails/5-Grove-Isle-Dr-PENTHOUSE-2-Miami-FL-33133/2060148111_zpid/,2060148111,https://photos.zillowstatic.com/fp/49ce3a1362197f307138ea38b5a4c867-p_e.jpg,25.735432,-80.2195,"$20,500,000",New construction,FOR_SALE
"2627 S Bayshore Dr APT 2801, Miami, FL 33133",4370,4.0,3,Coldwell Banker Realty,https://www.zillow.com/homedetails/2627-S-Bayshore-Dr-APT-2801-Miami-FL-33133/70767109_zpid/,70767109,https://photos.zillowstatic.com/fp/fd0475a89d840f0d3b08e92ae5e3f427-p_e.jpg,25.732395,-80.235085,"$5,475,000",Condo for sale,FOR_SALE
"13610 SW 182nd St, Miami, FL 33177",1639,2.0,4,Coldwell Banker Realty,https://www.zillow.com/homedetails/13610-SW-182nd-St-Miami-FL-33177/44341954_zpid/,44341954,https://photos.zillowstatic.com/fp/317a2ed5b4442378ac4914a34f9622b4-p_e.jpg,25.598635,-80.411995,"$529,000",House for sale,FOR_SALE
"1010 SW 2nd Ave UNIT 606, Miami, FL 33130",940,2.0,2,Global Luxury Realty LLC,https://www.zillow.com/homedetails/1010-SW-2nd-Ave-UNIT-606-Miami-FL-33130/247700150_zpid/,247700150,https://photos.zillowstatic.com/fp/1070f0b164d56dc4a1e5a1ec8504f6e8-p_e.jpg,25.764074,-80.19781,"$498,000",Condo for sale,FOR_SALE
"218 NW 12th Ave APT 903, Miami, FL 33128",916,2.0,2,"Intercapital Realty, Inc.",https://www.zillow.com/homedetails/218-NW-12th-Ave-APT-903-Miami-FL-33128/82067956_zpid/,82067956,https://photos.zillowstatic.com/fp/09b51e4da0dd6ee90c43da8b7b294ad8-p_e.jpg,25.775827,-80.21501,"$245,000",Condo for sale,FOR_SALE
"14471 SW 136th Pl, Miami, FL 33186",1622,2.0,3,Alyons Int'l Realty Inc,https://www.zillow.com/homedetails/14471-SW-136th-Pl-Miami-FL-33186/44331385_zpid/,44331385,https://photos.zillowstatic.com/fp/81ebb0ae63d45082e13a59d972469e86-p_e.jpg,25.63291,-80.41426,"$698,500",House for sale,FOR_SALE
