Page,Url,Title,Image,Content,Ingredients,Portion,Cooking Time,Recipe Yield,Direction
1,https://www.bucataras.ro/retete/mancare-de-linte-verde-95090.html,Mancare de linte verde,https://www.bucataras.roNone,"O mâncare de post foarte gustoasă. Are un gust asemănător cu fasolea verde, nouă ne-a plăcut mult.","150 g linte verde,
3 linguri ulei,
Frunzele de la o legătură de ceapă verde,
1 ceapă albă,
1 morcov,
300 ml apă,
200 g suc de roșii,
Sare, după gust,
Pătrunjel proaspăt, după gust",4,30,,"Lași lintea verde la înmuiat peste noapte. A doua zi o clătești și umpli vasul cu apă rece, astfel încât cojile să se ridice la suprafață și să le poți îndepărta ușor. Le mai frămânți cu mâna, până se decojesc. Într-o tigaie, cu puțin ulei, călești ceapa albă tocată mărunt și morcovul ras, cu sare după gust, adaugi și frunzele de ceapă verde tocate. Gătești astfel cam 5 minute. Adaugi lintea scursă de apă, apoi acoperi cu apă și lași să fiarbă maxim 15 minute. Spre final, pregătești sosul, adaugi sucul de roșii și mai lași să fiarbă cam 5 minute, apoi iei focul. Servești cu pătrunjel proaspăt tocat mărunt.   Poftă Bună!   Dacă vă place reţeta mea, o puteţi găsi şi pe blogul meu: https://ancutsa-cuisine.blogspot.com/2021/03/mancare-de-linte-verde.html youtube: https://www.youtube.com/watch?v=XdML0Zl22V0"
1,https://www.bucataras.ro/retete/mancare-de-stevie-95096.html,Mancare de stevie,https://www.bucataras.ro/uploads/modules/news/95096/656x440_mancare-de-stevie-619854.jpg,"Recunosc că încă nu m-am împrietenit cu ștevia îndeajuns, dar sunt în probe.","Frunze de ștevie curățate cca. 500 g,
Ceapă galbenă 1 bucată,
Usturoi verde 4 fire,
Pastă de roșii 1 lingură,
Pastă de ardei 1 lingură,
Ulei de floarea soarelui 1 lingură,
Sare de mare 1 lingură,
Piper proaspăt măcinat 1 linguriță.",4,30,,"Ceapa curățată și mărunțită se pune la călit în ulei și puțină apă, până ce devine translucidă. Între timp se frunzele de ștevie, usturoiul verde se curăță, apoi se taie grosier și se adaugă peste ceapa călită. Se amestecă, asezonează de sare, piper, pastă de roșii, pastă de ardei se adaugă apă cca. 300 ml, cât să o acopere, apoi se lasă la gătit cca. 20 minte la foc mic, până se gătește ștevia. Mâncarea se mănâncă fierbinte alături de mămăligă sau pâine.   Spor și poftă bună!"
1,https://www.bucataras.ro/retete/fasole-boabe-cu-spanac-in-sos-de-rosii-95110.html,Fasole boabe cu spanac in sos de rosii,https://www.bucataras.ro/uploads/modules/news/95110/656x440_fasole-uscata-cu-spanac-in-sos-de-rosii-620041.jpg,Un pranz rapid de post.,"1 ceapa rosie
1 conserva fasole alba
125 gr  baby spanac
200 gr rosii pasate
1 lingura pasta de ardei
1 lingura ulei
sare
piper negru macinat
cimbru uscat
2 foi de dafin
marar verde",2,30,,"Tocam ceapa fin si o calim in uleiul incins. Stingem cu rosiile pasate. Adaugam pasta de ardei, foile de dafin, cimbru, piper si putina sare. Fierbem cateva minute, apoi adaugam putina apa calda si fasolea scursa. Fierbem pana se leaga sosul, potrivim de sare si adaugam spanacul. Punem capacul  pentru 2-3 minute si lasam sa se inmoaie usor. Amestecam usor, adaugam mararul si oprim focul. Lasam 5 minute acoperita cu capac si putem servi cu paine prajita.  "
1,https://www.bucataras.ro/retete/supa-crema-de-ciuperci-pleurotus-95127.html,Supa crema de ciuperci Pleurotus,https://www.bucataras.ro/uploads/modules/news/95127/656x440_supa-crema-de-ciuperci-pleurotus-620218.jpg,Supa crema de ciuperci Pleurotus este usoara si placuta la gust!,"250 g. ciuperci Peurotus
1 ceapa
1 morcov
1 pastarnac
una bucata mica de telina
1 cartof
2 linguri smantana vegetariana
sare
piper",6,90,,"Ia un vas de 3 l.si pune apa in el. Pune vasul pe foc. Legumele curatate,spalate,taiate in bucatati mari se pun la fiert. Ciupercilecuratate,spalate se taie/rup in bucati mari. Cand legumele sunt aproape fierte, adauga ciupercile. Dupa ce au fiert si ciupercile ia vasul de pe foc si lasa-l sa se raceascaputin. Scoate legumele si pune-le in blender si marunteste-le bine pana devin o crema. Adauga in vasul blenderului zeama in care au fiert legumele putin cate putin pana obtii o consistenta ca aluatul de clatite. Blendeaza putin si adauga smantana. Sareaza /pipereaza si serveste supa crema cu crutoane sau paine ."
1,https://www.bucataras.ro/retete/dovlecei-pane-de-post-95146.html,Dovlecei pane de post,https://www.bucataras.ro/uploads/modules/news/95146/656x440_dovlecei-pane-de-post-620394.jpg,"Dovleceii pane sunt deliciosi chiar si in varianta de post, mai ales serviti cu mujdei de usturoi.","3 dovlecei
sare si piper
3 cuburi supa de legume, de casa
150 ml apa
150 gr faina
200 gr pesmet
ulei pentru prajit",40,60,1) Cuburile de legume pot fi inlocuite cu vegeta de casa.,"Mai intai se spala bine dovleceii pe coaja si se feliaza in rondele. Se asaza pe o tava, sau un blat intins si se presara cu sare. Se lasa asa pana elimina din lichid, apoi se tamponeaza cu prosoape de hartie absorbante. Intre timp, se incalzesc cuburile de legume in putina apa, doar ca sa se dilueze. Se adauga sare si piper si 3 linguri de faina. Se amesteca si rezulta o compozitie ca o ciulama. Rondelele de dovlecei se trec prin faina si se introduc in aceasta compozitie.  Se scot cu o furculita, se trec prin pesmet si se rumenesc in ulei incins. Se intorc de pe o parte pe cealalta si se scot pe prosoape absorbante. Sunt foarte gustosi, mai ales calzi, serviti cu mujdei!"
1,https://www.bucataras.ro/retete/supa-cu-ciuperci-de-post-95147.html,"Supa cu ciuperci, de post",https://www.bucataras.ro/uploads/modules/news/95147/656x440_supa-cu-ciuperci-de-post-620404.jpg,"O supa delicioasa, numai buna pentru pentru perioada aceasta a Postului.","2 morcovi
1 radacina de patrunjel
1 ceapa
1 buc mica de telina
30 ml ulei
500 g ciuperci champignon
3 lg ulei de masline
sare dupa gust
piper
5 lg orez
150 ml suc de rosii
patrunjel verde tocat",8,60,,"Se curata ceapa. Se taie marunt si se pune la calit in ulei, in oala in care se va prepara supa. Morcovii si patrunjelul se curata, se spala si se taie cubulete mici. Se pun si acestea peste ceapa si se lasa sa se caleasca impreuna. Se toarna 2.5 litri de apa peste legume, se adauga si telina lasata intreaga si se lasa sa fiarba. Intre timp se curata ciupercile si se taie felii. Se pun la calit in uleiul incins intr-o cratita. Se amesteca pentru a se cali pe toate partile, se adauga si putina sare. Dupa ce sui-au schimbat usor culorea, se toarna 2-3 polonice cu supa din oala cu legume si se lasa sa fiarba inabusit timp de 20 de minute. Dupa ce a trecut timpul, se toarna ciupercile in oala cu legume si se lasa sa mai fiarba impreuna.  Orezul se fierbre separat in apa cu putina sare. Dupa ce fierbe, se pune in oala cu legume, se adauga si sucul de rosii, se condimenteaza cu sare si putin piper, dupa gust si se lasa sa dea cateva clocote impreuna. La final se adauga patrunjelul tocat, se acopera oala cu un capac pentru 10 minute apoi se poate servi. Pofta buna!"
1,https://www.bucataras.ro/retete/taitei-cu-varza-de-post-95236.html,"Taitei cu varza, de post",https://www.bucataras.ro/uploads/modules/news/95236/656x440_taitei-cu-varza-de-post-621375.jpg,"Este o rețetă simplă și rapidă, cu puține ingrediente dar care poate fi o masă ușoară, de seară. Vă recomand acest fel de mâncare și în zilele de post, bineînțeles dacă folosiți paste fără ouă.","1 varză murată (cca 1 kg)
1-2 cepe
sare, după gust
piper, după gust
3-4 linguri de ulei
1 pungă cu tăiței lați, fără ouă (cca 200 g)",4,60,"1) Cu tăiței de casă, mâncarea este mult mai gustoasă!
2) Puteți să folosiți și tăiței cu ouă, dar mâncarea nu va mai fi de post.
3) Condimentați cu sare și piper, după gust.
4) Acest fel de mâcare poate fi făcut și cu varză dulce sau cu orice paste făinoase aveți la dispoziție.","Curatam ceapa si o taiem marunt. O punem la calit intr-o cratita cu uleiul incins.  Ciupercile le curatam, le spalam apoi le taiem cubulete mici. Le punem la calit peste ceapa. Adaugam si pasta de ardei sau boia si amestecam. Intre timp spalam pasatul si orezul apoi le punem in cratita cu ceapa si ciuperci. Amestecam bine apoi condimentam cu sare si piper dupa gust. Le mai lasam putin la calit impreuna apoi luam cratita de pe foc. Luam foile de varza pregatite inainte (tinute in apa rece daca este nevoie) si impachetam sarmalele. O parte din varza se taie fideluta. Luam o oala incapatoare, turnam uleiul apoi punem varza taiata fideluta. Asezam sarmalele iar deasupra mai punem un strat subtire de varza taiata. Se umple oala cu apa cat sa treaca de ssrmale cu vreo doua degete bune si se pune pe foc. Se da focul tare pana incepe sa fiarba apa apoi se reduce. Se lasa sa fiarba la foc domol cca 2 ore. Dupa ce au trecut cele 2 ore, luam o sarma si o gustam. Daca e fiarta si e pe gustul nostru, oprim focul, daca nu, mai lasam sa fiarba pana sunt gata. Pofta buna!"
1,https://www.bucataras.ro/retete/tabouleh-a-la-panacris-95347.html,Tabouleh a la Panacris,https://www.bucataras.ro/uploads/modules/news/95347/656x440_tabouleh-a-la-panacris-622665.jpg,"Tot vreau am vrut prepar și eu Tabouleh, adică un fel de garnitură din cus-cus/bulgur, pătrunjel și roșii😉 Am degustat de câteva ori la meniurile turcești/arăbești. Acum i-a venit rândul, dar bineînțeles cu amprenta Panacris! 😉 Simplă și tare gustoasă, dar mai ales sățioasă! ","Cereale de trei feluri prefierte (orez brun, grâu și orz) cca. 250 g,
Hasmațuchi verde cca. 10 fire,
Ceapă verde 3 fire,
Roșii 3 bucăți medii,
Sare de mare 1 lingură,
Piper proaspăt măcinat ½ linguriță.",4,15,"1) E super sățioasă pentru o zi de post, fără carne! ;)))","C urățăm ceapa, o spălăm, după care o tocăm mărunt și o călim până ce se inmoaie și devine transparentă ca sticla. Desfacem foile de varză și îndepărtăm cotorul și nervurile. Dacă este prea acră, o punem în apă rece, cam 10-15 minute, după care o punem la scurs, într-o strecurătoare. Tăiem varză fideluțe cât mai su b țiri sau o tocăm mărunt, cum ne place .  Punem varza peste ceapă și le călim împreună, până ce se inmoaie bine și varza.  C ondimentă m  cu piper, după gust,  iar la nevoie punem și puțină sare . F ierb em pastele în apă clocotită cu puțină sare, conform indicațiilor de pe ambalaj. Când sunt fierți tăițeii,   îi  clăt im cu apă rece  și  îi  l ă să m  puțin la scurs.  Punem tăițeii fierți peste  varză   și  amestecă m  cu grijă, ca să nu zdrobim  tăiței . La nevoie  mai adăug ăm  sare  și  piper, după gust. Poftă bună!"
1,https://www.bucataras.ro/retete/sarmale-cu-pasat-si-ciuperci-brune-95160.html,Sarmale cu pasat si ciuperci brune,https://www.bucataras.ro/uploads/modules/news/95160/656x440_sarmale-cu-pasat-si-ciuperci-brune-620534.jpg,Sunt minunate aceste sarmale cu pasat si ciuperci in zilele de post.,"2 buc ceapa
1 kg ciuperci champignon brune
50 ml ulei de floarea soarelui
500 g pasat
2 lgt pasta de ardei
sare, piper dupa gust
4 lg orez
varza murata
30 ml ulei de floarea soarelui",15,60,"1) Oala sa fie incapatoare deoarece la fierbere sarmalele se vor umfla tare.
2) Numarul sarmalelor vor iesi in functie de cat sunt de mari frunzele de varza.","Într-un vas se pun cerealele, apoi se adaugă cca. 125 ml apă rece, apoi se pun la fiert și se lasă cca. 5 minute după ce clocotesc. Apoi se strecoară și se lasă la răcorit. Ceapa verde și hasnațuchi se curăță și toacă mărunt. Roșiile se spală și se taie cubulețe. Într-un vas încăpător se amestecă cerealele fierte, cubulețele de roșii, ceapa verde și hasmațuchi mărunțit, se asezonează de sare și piper, apoi se lasă la rceecca. 15 minute, cât să se împrietenească aromele.   Spor și poftă bună! "
1,https://www.bucataras.ro/retete/hummus-cu-lipii-95570.html,Hummus cu lipii,https://www.bucataras.ro/uploads/modules/news/95570/656x440_hummus-cu-lipii-625293.jpg,,"150 g faina integrala (sau secara sau ovaz )
130 g faina 000
un praf sare
1 lg ulei masline
200 ml apa
1 lg-ta bicarbonat
1 borcan naut 540 g ( scurs 400 g)
1 lg ulei masline
2 catei usturoi
sare
zeama lamaie
1/2 lingurita chimen macinat
8 lg zeama de la naut",3,60,,"   Lipii:  se amesteca cele doua tipuri de faina ,cu sarea si bicarbonatul (eu nu l-am stins).Se adauga apa si uleiul de masline.Se amesteca putin, doar cat sa se formeze coca.Daca este prea lipicios, mai adaugati putina faina.Sa nu-l framantati prea mult, pentru ca se va intari! Se lasa sa se odihneasca 20 minute,acoperit.    Pentru hummus:  se pun toate ingredientele intr-un robot de bucatarie, se mixeaza si gustati daca mai trebuie sare sau zeama lamaie.     Aluatul pentru lipii, se intinde , se decupeaza forma dorita.Eu am decupat cu un vas de plastic,cu diametru de 15 cm .Au iesit 8 lipii. Am pregatit o tigaie de clatite, am uns-o cu ulei, am pus-o pe ochiul mare,pana s-a incins.Apoi am  pus cate 1 lipie si am micsorat flacara . Se intorc, cand sunt rumenite.Nu le lasati prea mult, in tigaie, pentru ca vor deveni uscate.Am procedat la fel si cu celelalte.     Eu am servit hummusul cu lipii si salata de legume."
