Page,Url,Image,Portion,Cooking Time,Title,Content,Ingredients,Recipe Yield
1,https://www.bucataras.ro/retete/mancare-de-linte-verde-95090.html,https://www.bucataras.roNone,4,30,Zöld lencse étel,"Nagyon finom böjti étel. Zöldbab íze van, nekünk nagyon ízlett.","150 g zöld lencse,
3 evőkanál olaj,
Egy csomó zöldhagyma levelei,
1 fehér hagyma,
1 sárgarépa,
300 ml víz,
200 g paradicsomlé,
Só ízlés szerint
Friss petrezselyem, ízlés szerint",
1,https://www.bucataras.ro/retete/mancare-de-stevie-95096.html,https://www.bucataras.ro/uploads/modules/news/95096/656x440_mancare-de-stevie-619854.jpg,4,30,Stevia étel,"Bevallom, még nem barátkoztam eléggé a steviával, de folyamatban vagyok.","A megtisztított stevia levelek kb. 500 g,
1 sárga hagyma,
4 gerezd zöld fokhagyma,
Paradicsompüré 1 evőkanál,
Paprika massza 1 evőkanál,
napraforgóolaj 1 evőkanál,
tengeri só 1 evőkanál,
Frissen őrölt bors 1 tk.",
1,https://www.bucataras.ro/retete/fasole-boabe-cu-spanac-in-sos-de-rosii-95110.html,https://www.bucataras.ro/uploads/modules/news/95110/656x440_fasole-uscata-cu-spanac-in-sos-de-rosii-620041.jpg,2,30,Bab spenóttal paradicsomszószban,Gyors böjt ebéd.,"1 vöröshagyma
1 doboz fehér bab
125 gr bébispenót
200 gr tört paradicsom
1 evőkanál paprika paszta
1 evőkanál olaj
só
őrölt feketebors
száritott kakukkfű
2 babérlevél
zöld kapor",
1,https://www.bucataras.ro/retete/supa-crema-de-ciuperci-pleurotus-95127.html,https://www.bucataras.ro/uploads/modules/news/95127/656x440_supa-crema-de-ciuperci-pleurotus-620218.jpg,6,90,Pleurotus gombakrémleves,A Pleurotus gombakrémleves könnyű és kellemes ízű!,"250 g Pleurotus gomba
1 hagyma
1 sárgarépa
1 paszternák
egy kis darab zeller
1 burgonya
2 evőkanál vegetáriánus tejföl
só
bors",
1,https://www.bucataras.ro/retete/dovlecei-pane-de-post-95146.html,https://www.bucataras.ro/uploads/modules/news/95146/656x440_dovlecei-pane-de-post-620394.jpg,40,60,Gyors kenyér sütőtök,"A rántott sütőtök még böjtölt változatban is finom, főleg fokhagymás szósszal tálalva.","3 tök
só, bors
3 házi zöldségleves kocka
150 ml vizet
150 gr liszt
200 g zsemlemorzsa
olaj a sütéshez",1) A zöldségkockák helyettesíthetők házi zöldségekkel.
1,https://www.bucataras.ro/retete/supa-cu-ciuperci-de-post-95147.html,https://www.bucataras.ro/uploads/modules/news/95147/656x440_supa-cu-ciuperci-de-post-620404.jpg,8,60,"Gombaleves, böjt","Finom leves, csak erre a nagyböjt időszakára jó.","2 sárgarépa
1 petrezselyem gyökér
1 hagyma
1 kis darab zeller
30 ml olajat
500 g csiperkegomba
3 l olívaolaj
só ízlés szerint
bors
5 l rizs
150 ml paradicsomlé
apróra vágott zöldpetrezselyem",1) A zöldségkockák helyettesíthetők házi zöldségekkel.
1,https://www.bucataras.ro/retete/taitei-cu-varza-de-post-95236.html,https://www.bucataras.ro/uploads/modules/news/95236/656x440_taitei-cu-varza-de-post-621375.jpg,4,60,"Tészta káposztával, böjt","Ez egy egyszerű és gyors recept, kevés hozzávalóval, de könnyű esti étkezés is lehet. Böjti napokra is ajánlom ezt az ételt, persze ha tojás nélküli tésztát használunk.","1 savanyú káposzta (kb. 1 kg)
1-2 hagyma
só ízlés szerint
bors, ízlés szerint
3-4 evőkanál olaj
1 zacskó széles tészta, tojás nélkül (kb. 200 g)","1) Házi tésztával sokkal finomabb az étel!
2) Használhat tojásos tésztát is, de az étel már nem lesz böjt.
3) Ízlés szerint sózzuk, borsozzuk.
4) Ez a fajta snack édes káposztával vagy bármilyen elérhető tésztával is elkészíthető."
1,https://www.bucataras.ro/retete/tabouleh-a-la-panacris-95347.html,https://www.bucataras.ro/uploads/modules/news/95347/656x440_tabouleh-a-la-panacris-622665.jpg,4,15,Tabouleh a la Panacris,"Továbbra is szeretném, szerettem volna Tabouleh-t is készíteni, vagyis amolyan kuszkuszból/bulgurból, petrezselyemből és paradicsomból készült köretet😉 Többször kóstoltam a török/arab menükön. Most rajta a sor, de természetesen Panacris bélyegzővel! 😉 Egyszerű és nagyon finom, de mindenekelőtt laktató!-","Háromféle gabonafélék előfőzve (barnarizs, búza és árpa) kb. 250 g,
Hasmațuchi zöld kb. 10 szál,
3 zöld hagyma,
Paradicsom 3 közepes darab,
tengeri só 1 evőkanál,
Frissen őrölt bors ½ teáskanál.","1) Szuper laktató egy böjti napra, hús nélkül! ;)))"
1,https://www.bucataras.ro/retete/sarmale-cu-pasat-si-ciuperci-brune-95160.html,https://www.bucataras.ro/uploads/modules/news/95160/656x440_sarmale-cu-pasat-si-ciuperci-brune-620534.jpg,15,60,Sarmale passattal és barna gombával,Ezek a sarmalok pasattal és gombával csodálatosak a böjti napokon.,"2 hagyma
1 kg barna csiperkegomba
50 ml napraforgóolaj
500 g pépesített
2 lgt paprika paszta
só, bors ízlés szerint
4 l rizs
savanyúkáposzta
30 ml napraforgóolaj","1) Az edénynek tágasnak kell lennie, mert a kolbászok nagyon megduzzadnak forrás közben.
2) A sarmalok száma attól függ, hogy mekkora a káposztalevél."
1,https://www.bucataras.ro/retete/hummus-cu-lipii-95570.html,https://www.bucataras.ro/uploads/modules/news/95570/656x440_hummus-cu-lipii-625293.jpg,3,60,Hummus botokkal,Ezek a sarmalok pasattal és gombával csodálatosak a böjti napokon.,"150 g teljes kiőrlésű liszt (vagy rozs vagy zab)
130 g liszt 000
egy csipet só
1 lg olívaolaj
200 ml vizet
1 evőkanál bikarbonát
1 üveg csicseriborsó 540 g (lecsepegtetett 400 g)
1 lg olívaolaj
2 gerezd fokhagyma
só
citromlé
1/2 teáskanál őrölt kömény
8 lg csicseriborsólé","1) Az edénynek tágasnak kell lennie, mert a kolbászok nagyon megduzzadnak forrás közben.
2) A sarmalok száma attól függ, hogy mekkora a káposztalevél."
1,https://www.bucataras.ro/retete/fasole-scazuta-de-post-95613.html,https://www.bucataras.ro/uploads/modules/news/95613/656x440_fasole-scazuta-de-post-625844.jpg,6,120,"Sovány bab, koplalás","""Lélek receptek""","500 g bab
3 hagyma
50 ml olajat
3 evőkanál paradicsompüré
2 teáskanál édes paprika
2 babérlevél
vegetál
bors
só","1) Az edénynek tágasnak kell lennie, mert a kolbászok nagyon megduzzadnak forrás közben.
2) A sarmalok száma attól függ, hogy mekkora a káposztalevél."
1,https://www.bucataras.ro/retete/tocana-de-cartofi-noi-95621.html,https://www.bucataras.ro/uploads/modules/news/95621/656x440_tocana-de-cartofi-noi-625949.jpg,4,90,Új burgonya pörkölt,"""Lélek receptek""","1 kg újburgonya
3 hagyma
1 kaliforniai paprika
1 zöldpaprika
400 g apróra vágott paradicsom
50 ml olajat
1 csokor kapor
vegetál
füstölt paprika
bors
só","1) Az edénynek tágasnak kell lennie, mert a kolbászok nagyon megduzzadnak forrás közben.
2) A sarmalok száma attól függ, hogy mekkora a káposztalevél."
1,https://www.bucataras.ro/retete/varza-murata-calita-de-post-95644.html,https://www.bucataras.ro/uploads/modules/news/95644/656x440_varza-murata-calita-de-post-626196.jpg,6,120,Nagyböjtre fűszerezett savanyú káposzta,"""Lélek receptek""","2 ecetes savanyú káposzta
2 hagyma
100 ml olaj
édes Boya
füstölt paprika
bors","1) Az edénynek tágasnak kell lennie, mert a kolbászok nagyon megduzzadnak forrás közben.
2) A sarmalok száma attól függ, hogy mekkora a káposztalevél."
1,https://www.bucataras.ro/retete/salata-de-dovlecei-de-post-95647.html,https://www.bucataras.ro/uploads/modules/news/95647/656x440_salata-de-dovleceide-post-626211.jpg,3,60,Sütőtök saláta (böjt),Lélek receptek,"2-3 fiatal tök
1 nagy vagy 2 kisebb burgonya
só
őrölt feketebors
1 kanál mustár
1 evőkanál citromlé
70 ml olaj
szárított bazsalikom","1) Az edénynek tágasnak kell lennie, mert a kolbászok nagyon megduzzadnak forrás közben.
2) A sarmalok száma attól függ, hogy mekkora a káposztalevél."
1,https://www.bucataras.ro/retete/pasta-de-naut-cu-avocado-si-busuioc-95649.html,https://www.bucataras.ro/uploads/modules/news/95649/656x440_pasta-de-naut-cu-avocado-si-busuioc-626224.jpg,4,30,Csicseriborsós tészta avokádóval és bazsalikommal,Lélek receptek,"400 gr előfőzött vagy konzerv csicseriborsó
2 szelet avokádó
egy marék friss bazsalikom
2 gerezd fokhagyma
citromlé ízlés szerint
só
őrölt feketebors
70 ml olívaolaj
pirítóst tálalni","1) Az edénynek tágasnak kell lennie, mert a kolbászok nagyon megduzzadnak forrás közben.
2) A sarmalok száma attól függ, hogy mekkora a káposztalevél."
1,https://www.bucataras.ro/retete/mancare-de-naut-cu-vinete-95752.html,https://www.bucataras.ro/uploads/modules/news/95752/656x440_mancare-de-naut-cu-vinete-627600.jpg,4,60,Csicseriborsó étel padlizsánnal,Lélek receptek,"1 hagyma
1 sárgarépa
1 kaliforniai paprika
1 közepes padlizsán
300 gr előzőleg főtt csicseriborsó
200 gr reszelt paradicsom
1 evőkanál olaj
só
őrölt feketebors
2 babérlevél
száritott kakukkfű
szárított bazsalikom
füstölt édes paprika
zöld petrezselyem","1) Az edénynek tágasnak kell lennie, mert a kolbászok nagyon megduzzadnak forrás közben.
2) A sarmalok száma attól függ, hogy mekkora a káposztalevél."
1,https://www.bucataras.ro/retete/mancare-de-ardei-copti-cu-rosii-si-usturoi-95820.html,https://www.bucataras.ro/uploads/modules/news/95820/656x440_mancare-de-ardei-copti-cu-rosii-si-usturoi-628343.jpg,4,60,Étel sült paprika paradicsommal és fokhagymával,"Étel sült paprikából paradicsommal és fokhagymával - Melegen és hidegen is kiváló! Kenyérrel jó, mamaligutával és olea sajttal a tetejére. Egy darab húshoz is illik, simára is megy.","12 db capia paprika
4 közepes paradicsom
2 hagyma
3 gerezd fokhagyma
zöld petrezselyem
egy kis szál kakukkfű
egy kanál cukrot
egy kanál balzsamecet - opcionális; ha nincs, ne tedd
só
50 ml olajat","1) Az edénynek tágasnak kell lennie, mert a kolbászok nagyon megduzzadnak forrás közben.
2) A sarmalok száma attól függ, hogy mekkora a káposztalevél."
1,https://www.bucataras.ro/retete/clatite-de-post-95843.html,https://www.bucataras.ro/uploads/modules/news/95843/656x440_clatite-de-post-628634.jpg,14,30,Palacsinta nagyböjtre,"Egyszerű és gyors desszert, ideális egy böjti napra. A szénsavas vizes tészta nagyon jó. A palacsinta puha és rugalmas lesz.","1 liter szénsavas víz
380 g liszt
5 g sót
5 g vaníliás cukor
10 g porcukor
1 evőkanál keményítő
3-4 evőkanál olaj",1) A szebb színért adj hozzá 1 teáskanál porított kurkumát.
1,https://www.bucataras.ro/retete/mancare-de-conopida-95859.html,https://www.bucataras.ro/uploads/modules/news/95859/656x440_mancare-de-conopida-628709.jpg,3,60,Karfiol étel,"Ez az étel finom, böjti napokra is alkalmas, és nem csak.","1 db karfiol
3 hagyma
3 db paradicsom
2 evőkanál húsleves
2 evőkanál olívaolaj
2 db capia paprika
1 babérlevél
Sópor
paprika por
bazsalikom por
1 csokor petrezselyem",1) A szebb színért adj hozzá 1 teáskanál porított kurkumát.
1,https://www.bucataras.ro/retete/hummus-de-fasole-96046.html,https://www.bucataras.ro/uploads/modules/news/96046/656x440_hummus-de-fasole-630619.jpg,4,30,Bab humusz,"Ez az étel finom, böjti napokra is alkalmas, és nem csak.","400 gr előfőzött fehér bab
2 evőkanál szezámmag
citromlé
3 evőkanál olívaolaj + díszítéshez
só
őrölt feketebors
2-3 gerezd fokhagyma
füstölt édes paprika díszítésnek
pirítóst tálalni",1) A szebb színért adj hozzá 1 teáskanál porított kurkumát.
1,https://www.bucataras.ro/retete/ciuperci-coapte-cu-verdeturi-de-post-96049.html,https://www.bucataras.ro/uploads/modules/news/96049/656x440_ciuperci-coapte-cu-verdeturi-de-post-630627.jpg,2,60,Sült gomba zöldekkel (böjtre),"Ha böjtölünk, akkor növényi fehérjékre van szükségünk, így a gomba kiváló választás.","400 g barna csiperkegomba
2 evőkanál apróra vágott zöldpetrezselyem
2 evőkanál apróra vágott zöld kapor
2 evőkanál olívaolaj
só
őrölt feketebors",1) A szebb színért adj hozzá 1 teáskanál porított kurkumát.
1,https://www.bucataras.ro/retete/mancare-greceasca-de-fasole-verde-fasolakia-96061.html,https://www.bucataras.ro/uploads/modules/news/96061/656x440_mancare-greceasca-de-fasole-verdefasolakia-630766.jpg,2,60,Görög zöldbab étel (Fasolakia),"Az eredeti recept, a zöldbab és a burgonya kombinációja, az olívaolajban való úszás. Csökkentettem az olaj mennyiségét.","300 g zöldbab (fagyasztott)
150 gr vörös burgonya
150 gr tört paradicsom
2 evőkanál olívaolaj
1-2 gerezd fokhagyma
só
őrölt feketebors
1 evőkanál szárított zöldség választható
kakukkfű
szárított oregánó
1 babérlevél",1) A szebb színért adj hozzá 1 teáskanál porított kurkumát.
