Title,Content,Ingredients,Recipe Yield,Direction
Zöld lencse étel,"Egy nagyon finom böjtös étel. Az íze hasonlít a zöldbabra, mi nagyon szerettük.","150 g zöld lencse,
3 evőkanál olaj,
Egy csokor zöldhagyma levelei,
1 fehér hagyma,
1 sárgarépa,
300 ml víz,
200 g paradicsomlé,
Só, ízlés szerint,
Friss petrezselyem, ízlés szerint.","Nan

Nincs","Tegye a zöld lencse beáztatásra az éjszakára. Másnap öblítse le és töltse fel hideg vízzel a tálba, hogy a héjak feljöjjenek a felszínre és könnyen eltávolíthatók legyenek. Keverje meg a kezével, amíg a héj el nem válik. Egy serpenyőben, kevés olajjal pirítsa meg a finomra vágott fehér hagymát és a reszelt sárgarépát, sóval ízesítve, és adjon hozzá apróra vágott zöldhagymaleveleket. Főzze ezt kb. 5 percig. Adjon hozzá a lecsepegtetett lencset, majd öntsön rá vizet, és főzze maximum 15 percig. Végül készítse el a szószt, adjon hozzá paradicsomszószt és főzze még 5 percig, majd vegye le a tűzhelyről. Tálalja frissen aprított petrezselyemmel. Jó étvágyat! Ha tetszik a receptem, megtalálhatja a blogomon is: https://ancutsa-cuisine.blogspot.com/2021/03/mancare-de-linte-verde.html youtube: https://www.youtube.com/watch?v=XdML0Zl22V0"
Steviás étel,"Elismerni kell, hogy még nem barátkoztam eléggé a steviával, de próbálkozom.","Szilvafa levelek 500 g tisztítva,
Sárga hagyma 1 db,
Zöld fokhagyma 4 szál,
Paradicsompüré 1 evőkanál,
Paprikapüré 1 evőkanál,
Napraforgó olaj 1 evőkanál,
Tengeri só 1 evőkanál,
Friss reszelt bors 1 teáskanál.","Nan

Nan","A megtisztított és apróra vágott hagymát olajban és kevés vízben pároljuk, amíg átlátszóvá válik. Közben a stevia leveleket, a zöld fokhagymát megtisztítjuk, majd durván vágjuk és hozzáadjuk a megpárolt hagymához. Keverjük össze, sózzuk, borsozzuk, adjunk hozzá paradicsom- és paprikapürét, kb. 300 ml vizet, amennyi ellepi, és főzzük kb. 20 percig alacsony lángon, amíg a stevia megpuhul. A kész ételt melegen fogyaszthatjuk körettel, mint a mángold vagy a kenyér. Jó étvágyat!"
Fasírozott borsó spenóttal paradicsom mártásban,Gyors vegetáriánus ebéd.,"1 piros hagyma
1 konzerv fehér bab
125 gr baby spenót
200 gr paszírozott paradicsom
1 evőkanál csípős paprika
1 evőkanál olaj
só
őrölt fekete bors
szárított kakukkfű
2 babérlevél
zöld petrezselyem","Nan

Nincs","Vágjuk finomra a hagymát és pirítsuk meg olajban. Öntsük bele a lereszelt paradicsomot. Adjuk hozzá a paprikakrémet, a babérlevelet, a kakukkfüvet, a borsot és egy kevés sót. Főzzük pár percig, majd adjunk hozzá egy kevés meleg vizet és a lecsöpögtetett borsót. Főzzük, amíg a szósz összeáll, ízesítsük sóval és adjuk hozzá a spenótot. Tegyük rá a fedőt 2-3 percre, hogy a zöldségek puha legyenek. Keverjük össze, adjuk hozzá a petrezselymet és kapcsoljuk ki a tűzhelyet. Hagyjuk 5 percig fedő alatt, majd tálaljuk pirított kenyérrel."
Supa crema de ciuperci Pleurotus magyarul,A Pleurotus gomba krémleves könnyű és ízletes!,"250 g. Pérotus gomba
1 hagyma
1 sárgarépa
1 paszternák
egy kis zeller
1 krumpli
2 evőkanál vegetáriánus tejszín
só
bors","Nan

Nincs","Egy 3 literes edényt teszünk bele víz. Helyezd az edényt a tűzre. A megtisztított, megmosott, nagyobb darabokra vágott zöldségeket főzni kell. A megtisztított, megmosott gombákat nagyobb darabokra kell vágni / törni. Amikor a zöldségek majdnem főznek, add hozzá a gombákat. Miután a gombák is főztek, vegyük le az edényt a tűzről, és hagyjuk, hogy kicsit lehűljön. Vegyük ki a zöldségeket, és tegyük őket egy turmixgépbe, és turmixoljuk őket jól, amíg habkrém állagú nem lesz. Tegyük a turmixgép edényébe fokozatosan a zöldségek főzővizét, amíg el nem éri a palacsintatészta sűrűségét. Turmixoljuk újra, és tegyünk bele tejszínt. Sózzuk / borsozzuk, és tálaljuk a krémlevest krutonnal vagy kenyérrel."
Párolt padlizsán vegán postához,"A kabakok nagyon finomak még a vegetáriánus változatban is, különösen fokhagymás mártással tálalva.","3 sárgarépa
Só és bors
3 evőkanál házi zöldség leves
150 ml víz
150 gr liszt
200 gr kenyérmorzsa
Sütéshez olaj",A zöldségkockákat otthon készített vegetával helyettesíthetjük.,"Először alaposan meg kell mosni a cukkinit, és szeletekre vágni. Egy tepsire vagy egy lapra helyezni, sóval megszórni, és hagyni, hogy kioldja a folyadékot. Ezután papírtörlővel szárazra törölni. Közben a zöldségkockákat kevés vízben felmelegíteni, hogy megpuhuljanak. Sót és borsot adni, és 3 evőkanál lisztet. Ezzel egy pürét készíteni. A cukkini szeleteket lisztbe forgatni, és a pürébe mártani. Egy villával kiemelni, zsemlemorzsában megforgatni, és forró olajban kisütni. A papírtörlőre kivenni, és melegen, mézes mustárral tálalni."
Vegan csiperkemelles leves,"Egy finom leves, csak jó ebben az időszakban a böjtölés alatt.","1 petrezselyemgyökér
1 vöröshagyma
1 kis zeller
30 ml olaj
500 g gomba
3 evőkanál olívaolaj
só ízlés szerint
bors
5 evőkanál rizs
150 ml paradicsomszósz
aprított zöld petrezselyem","Nan

Nincs","A hagyma megpucolása. Apróra vágva, olajban megpároljuk a leves elkészítéséhez használt edényben. A sárgarépa és a petrezselyem megpucolása, öblítése és kockákra vágása. Ezek is a hagymára kerülnek, és együtt megpároljuk. 2,5 liter víz kerül a zöldségekre, és egy egész zeller is. Főzzük, amíg megpuhul. Közben a gombákat megpucoljuk és szeletekre vágjuk. Egy forró olajban megpároljuk őket. Kavarjuk, hogy minden oldaluk megpárolódjon, és egy kis sót is tegyünk hozzá. Amikor színük megváltozik, 2-3 evőkanál levest öntünk a zöldségek edényéből, és lassú tűzön főzzük 20 percig. Ezután a gombákat is a zöldségek edényébe öntjük, és együtt főzzük tovább. A rizst külön sós vízben főzzük meg. Amikor megfőtt, a zöldségek edényébe tesszük, és a paradicsomlevet is hozzáadjuk. Sózzuk, borsozzuk ízlés szerint, és még egyet forralunk. Végül a zöldfűszert apróra vágjuk, és a fedőt ráteszünk 10 percre. És már kész is! Jó étvágyat!"
"Töltött káposzta, vegán","Ez egy egyszerű és gyors recept, kevés hozzávalóval, de ez egy könnyű, esti étel lehet. Ajánlom ezt az ételt a böjti napokon is, természetesen ha tojás nélküli tésztát használsz.","1 kg sárga répa
1-2 hagyma
só, ízlés szerint
bors, ízlés szerint
3-4 evőkanál olaj
1 csomag széles csíkokra vágott tészta (kb. 200 g) tojás nélkül","1) Az otthon készített tésztával az étel sokkal finomabb!
2) Használhatnak tojással készült tésztát is, de az már nem lesz böjtös étel.
3) Ízesítsd sóval és borssal, ízlés szerint.
4) Ezt az ételt lehet cukkinivel vagy bármilyen lisztből készült tésztával is elkészíteni.","Meghámozzuk a hagymát, majd apróra vágjuk. Egy serpenyőben felhevített olajban pirítjuk. A gombákat megtisztítjuk, megmossuk, majd kockákra vágjuk. A hagymához adjuk, majd adjuk hozzá a piros paprikakrémet vagy a fűszersót és keverjük össze. Közben a tésztát és a rizst megmossuk, majd a hagymás-gombás keverékhez adjuk. Alaposan összekeverjük, majd sóval és borssal ízesítjük. Egy kicsit együtt pirítjuk, majd a tűzről levesszük. A korábban előkészített káposztaleveleket (ha szükséges, hideg vízben tartottuk) kiszúrjuk, és a töltelékeket belecsomagoljuk. Egy nagy lábasba olajat öntünk, majd a kockákra vágott káposztát. A töltelékeket beleteszük, és egy vékony réteg káposztát teszünk rá. A lábasba annyi vizet öntünk, hogy az kb. 2 ujjnyira ellepje a töltelékeket, és tűzre rakjuk. Teljes lángon főzzük, míg felforr, majd kicsit csökkentjük a lángot. Közepes lángon körülbelül 2 órán át főzzük. Az eltelt 2 óra után egy tölteléket kivehetünk, és megkóstolhatjuk. Ha ízlik és átsült, kapcsoljuk ki a tüzet, ha nem, akkor hagyjuk még főni. Jó étvágyat!"
Tabouleh a la Panacris magyarul,"Azt szeretném, hogy elkészítsem a Tabouleh-t, egyfajta cus-cus / bulgur, petrezselyem és paradicsom köretet😉 Már többször is kóstoltam a török / arab menüben. Most jött az ő ideje, de természetesen a Panacris nyomában! 😉 Egyszerű és nagyon finom, de főleg laktató!","250 g-os kedvenc háromféle gabonafélék (barna rizs, búza és árpa),
10 zöldhagyma szál,
3 zöldhagyma szál,
3 közepes paradicsom,
1 evőkanál tengeri só,
½ teáskanál frissen őrölt bors.",Nagyon jó egy meatless postai napra! ;))),"Meghámozzuk a hagymát, megmossuk, majd apróra vágjuk és puhára pároljuk, amíg átlátszóvá válik, mint az üveg. Kinyitjuk a káposztaleveleket és eltávolítjuk a szárat és az idegeket. Ha túl savanyú, akkor 10-15 percig hideg vízbe tesszük, majd leszűrjük egy szűrőben. A káposztát vékony szeletekre vágjuk, vagy apróra daráljuk, ahogy szeretnénk. A káposztát a hagymára tesszük és együtt pároljuk, amíg a káposzta jól megpuhul. Fűszerezzük borssal, ízlés szerint, és ha szükséges, sót is adunk. Főzzük meg a tésztát forrásban lévő sós vízben, a csomagoláson feltüntetett utasítások szerint. Amikor a tészták megfőttek, hideg vízzel leöblítjük és egy kicsit leszűrjük. A megfőtt tésztát a káposztára tesszük és óvatosan összekeverjük, hogy ne törjük össze a tésztát. Sóval és borssal, ízlés szerint, további fűszerezésre adhatunk. Jó étvágyat!"
Sarmale tört szósszal és barna gombával,Ezek a szenteste szarmák paradicsomos és gombás töltelékkel a böjti napokon csodálatosak.,"1 kg barna gomba
50 ml napraforgó olaj
500 g paszta
2 evőkanál paprika pasta
só, bors ízlés szerint
4 evőkanál rizs
savanyú káposzta
30 ml napraforgó olaj","A lábos legyen nagy, mivel a töltött káposzta meg fog dagadni főzés közben. A töltött káposzta száma attól függ, hogy mennyire nagyok a káposztalevelek.","Egy edénybe tegyük a gabonát, majd öntsünk hozzá kb. 125 ml hideg vizet, és forraljuk fel. Hagyjuk kb. 5 percig forrni. Ezután szűrjük le és hagyjuk kihűlni. A zöldhagyma és a kapor megpucoljuk és apróra vágjuk. A paradicsomokat megmossuk és kockákra vágjuk. Egy nagy edénybe keverjük össze a főtt gabonát, a paradicsomkockákat, a zöldhagymát és a kaprot, sóval és borssal ízesítjük, majd hagyjuk 15 percig állni, hogy összeérjenek az ízek. Jó étvágyat!"
Hummusz a pita kenyérrel,"Nan

Nem","150 g teljes kiőrlésű liszt ( vagy rozs vagy zabpehely )
130 g 00 liszt
egy csipet só
1 evőkanál olívaolaj
200 ml víz
1 teáskanál szódabikarbóna
1 üveg 540 g borsó ( 400 g lecsepegtetve )
1 evőkanál olívaolaj
2 gerezd fokhagyma
só
citromlé
1/2 teáskanál őrölt kömény
8 evőkanál borsólé","Nan

Nincs","A lisztet, a sót és a szódabikarbónát (én nem hígítottam) összekeverjük. Hozzáadjuk az olívaolajat és a vizet. Keverjük össze, csak annyira, hogy tésztát kapjunk. Ha túl ragadós, akkor tegyünk hozzá még lisztet. Ne dagasszuk túl, mert megkeményedik! Hagyjuk pihenni 20 percig, letakarva. A humuszhoz az összes hozzávalót egy robotgépbe tesszük, és összeturmixoljuk. Ízesítsük sóval és citromlével, ha szükséges. A lisztet kinyújtjuk, és kiszúrjuk a kívánt formákat. Én egy 15 cm átmérőjű műanyag edényt használtam. 8 lisztet sikerült kiszúrnom. Egy palacsintasütőt készítettem elő, és kis olívaolajjal kikentem. A nagy lángon melegítettem, majd rátettem egy lisztet. Kisítottam a lángot, és megfordítottam, amikor aranybarna lett. Ne hagyjuk túl sokáig a sütőben, mert kiszárad. Ugyanezt tettem a többi lisztivel is. A humuszt a lisztekkel és zöldséges salátával tálaltam."
